"label","samples","rms","normalized_rms"
"AD",40,3.31046196854091,0.511802132521674
"AF",40,2.42401248989295,0.374755781330781
"AG",39,3.90902169445839,0.604340318151752
"AH",37,3.95817996034787,0.611940256031235
"AI",40,2.15139335877591,0.332608475607947
"AO",40,4.12151785017875,0.637192526297878
"AP",40,3.93332773139346,0.608098066059668
"AR",40,0.199014313806452,0.0307678961958814
"AS",39,3.59335561286311,0.555537892610996
"AT",40,2.86059981025436,0.442252802506764
"AU",39,1.56992338817124,0.242712390475168
"AW",40,5.43635569715939,0.84046832901054
"AX",40,4.16625510481169,0.644108969544135
"AZ",41,4.3940850864131,0.679331808997978
"BC",40,1.73874550957766,0.268812530749766
"BD",40,1.45769821763824,0.225362219366959
"BE",40,2.80934107893257,0.434328129681596
"BF",40,3.79071738105031,0.58605030290187
"BG",40,4.38372119052025,0.677729535940745
"BH",38,3.58198910391785,0.553780614148717
"BI",40,1.53543029035439,0.23737970845444
"BK",40,5.1040569818529,0.789094474622771
