"label","samples","rms","normalized_rms"
"AD",40,2.15609290334205,0.419403838981302
"AF",40,3.41366352141602,0.664026853227475
"AG",39,2.38463074620645,0.463859088799743
"AH",37,3.32949593794106,0.647654549616411
"AI",40,2.23934574040693,0.435598205846002
"AO",40,2.30054920023729,0.44750352123014
"AP",40,2.43639736198189,0.473928746444659
"AR",40,0.184563806864802,0.0359014071314448
"AS",39,2.44800811181688,0.476187272988991
"AT",40,1.46120610749682,0.284234250795579
"AU",39,1.0874027433961,0.211521908166484
"AW",40,2.76915335645888,0.538656542409002
"AX",40,3.0097982852458,0.585466866216558
"AZ",41,1.92909595374029,0.375248324183005
"BC",40,2.39649861800094,0.466167630784845
"BD",40,1.31231040682866,0.255271014391785
"BE",40,0.855663176431609,0.166443858014694
"BF",40,2.93483596678978,0.5708851735211
"BG",40,2.85353062110712,0.555069633264854
"BH",38,3.91384525591826,0.761322354415479
"BI",40,1.78727418235677,0.347661110627792
"BK",40,4.05934234346041,0.78962449157348
