"label","samples","rms","normalized_rms"
"AD",40,3.15492574519609,0.449254021822423
"AF",40,2.9166680124379,0.4153266798446
"AG",39,4.26359539530734,0.607125978062072
"AH",37,4.52127208910944,0.643818534518201
"AI",40,2.3958558683749,0.341164252823763
"AO",40,4.81332737743116,0.685406522150817
"AP",40,4.25283583318594,0.605593841667595
"AR",40,2.04906107821945,0.29178148859813
"AS",39,3.74345880631033,0.533059748497173
"AT",40,3.07378717873535,0.437700080382472
"AU",39,1.54319853351873,0.219747849441276
"AW",40,6.33118571973165,0.901545987833496
"AX",40,4.51665131512918,0.643160547147903
"AZ",41,4.88296039488014,0.695322100413862
"BC",40,1.71529232344117,0.24425360123941
"BD",40,1.73538668261624,0.2471149908265
"BE",40,5.2433046761009,0.746634280367902
"BF",40,3.57457361423314,0.509010893501947
"BG",40,4.61922673867142,0.657767046726113
"BH",38,3.98712908814533,0.567757824760826
"BI",40,0.936550182681387,0.13336254802472
"BK",40,5.85627934651338,0.833920434844721
