"job_id","started_utc","dataset","data_md5","samples","variables","truth_classes","classifier","graph_mode","graph_build_key","backend_requested","graph_backend","optimization_backend","dissimilarity_backend","n_cores_requested","n_cores_selected","gpu_auto_workers","gpu_scheduler_lanes","gpu_worker_memory_estimate_mb","seed","M","Tcycle","landmarks_requested","effective_landmarks","splitting","graph_k","knn_k","ncomp","graph_index_type","graph_ivf_nlist","graph_ivf_nprobe","graph_ivf_pilot_recall","graph_wall_seconds","graph_reported_seconds","input_copy_seconds","visual_init_seconds","landmark_sum_seconds","landmark_mean_seconds","landmark_median_seconds","optimization_wall_seconds","optimization_sum_seconds","dissimilarity_seconds","graph_conversion_seconds","matrix_wall_seconds","matrix_reported_seconds","embedding_seconds","pipeline_seconds","peak_memory_mb","best_cv_accuracy","median_cv_accuracy","iqr_cv_accuracy","best_ari","median_run_ari","max_diagnostic_ari","best_classes","median_classes","iqr_classes","min_classes","max_classes","collapse_rate_le2","median_pairwise_m_ari","classic_truth_silhouette","kodama_truth_silhouette","kodama_label_silhouette","core_commit","core_dirty"
"MetRef__native__cpu__4__100__100__pls_lda","2026-08-08 19:43:26 UTC","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,22,"pls_lda","native","MetRef__cpu__4","cpu","cpu","cpu","cpu",4,4,FALSE,0,0,4,100,100,100000,655,100,100,30,50,"native_hnsw",0,0,0,0.155,0.154342291,9.7833e-05,0.005221833,3.266841627,0.03266841627,0.0328964375,252.139476083,985.835242039,0.004267,0.000222459,252.155,252.144560416,0.0340000000000202,252.344,170.4375,1,0.993893129770992,0.00610687022900769,0.843135487967456,0.726922650530796,0.888355788322043,23,26,5,14,33,0,0.607491629593438,0.0987046747479172,0.812164398911693,0.623742849171866,"20620c9ad1caa0d8018c7daaf55343025ce213d5","TRUE"
"MetRef__native__metal__4__100__100__pls_lda","2026-08-08 19:48:40 UTC","MetRef","500e69ce3c5bebc2f57687c93426ed58",873,375,22,"pls_lda","native","MetRef__metal__4","metal","metal","metal","metal",0,26,TRUE,26,141.676261901855,4,100,100,100000,655,100,100,30,50,"metal_exact",0,0,0,0.136,0.134418541,0.00019075,0.02517275,3.290828328,0.03290828328,0.012262917,263.563408042,6401.418389372,0.0025215,0.00016225,263.58,263.568846541,0.0409999999999968,263.757,634.421875,1,0.993893129770992,0.00916030534351142,0.860185108173668,0.721506983251817,0.905695663800803,32,25,5,16,35,0,0.587867059585717,0.103778388393224,0.822186144146211,0.809374007479623,"20620c9ad1caa0d8018c7daaf55343025ce213d5","TRUE"
